Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Avaí;1;990;0;0;15;3;2;0;562;18;16;6;23;0;355;446;796;33;352;13;11;6;0
Athletico Paranaense;1;990;0;0;15;7;3;0;568;29;7;12;25;0;339;443;765;43;342;15;20;9;1
Bragantino;1;989;0;0;19;3;3;1;575;16;5;8;36;0;363;474;766;44;382;22;11;4;0
Bragantino;1;990;0;0;11;6;0;0;530;19;9;14;18;6;313;414;756;33;352;13;17;7;1
Santos;1;959;0;0;12;2;3;1;637;13;3;11;24;0;442;543;814;47;409;25;19;8;0
América (MG);1;990;0;0;9;3;1;0;520;21;14;16;15;1;279;400;698;47;211;13;15;5;0
Palmeiras;1;990;1;1;21;8;2;0;537;14;6;11;34;3;353;432;817;48;344;22;11;5;1
Juventude;1;990;0;0;13;3;2;0;554;15;14;7;26;2;382;447;855;31;353;24;24;12;0
Cuiabá;1;990;0;0;24;4;3;0;705;14;4;10;35;2;512;616;831;64;430;18;6;2;0
Atlético Goianiense;1;990;0;0;12;5;3;0;481;10;8;6;22;2;281;375;749;30;261;19;19;11;1
Flamengo;1;990;0;0;19;12;3;0;676;17;5;4;34;6;469;557;842;41;386;17;29;12;1
Athletico Paranaense;1;959;0;0;11;1;5;1;394;22;10;14;14;2;179;262;683;14;168;7;14;6;0
Botafogo (RJ);1;990;0;0;18;7;1;0;485;15;9;5;32;3;280;367;763;33;260;8;17;10;1
Internacional;1;990;1;1;20;5;0;0;706;16;13;14;39;3;493;581;849;63;453;32;19;8;1
Corinthians;1;990;0;0;14;5;3;0;604;28;6;6;26;0;395;484;816;31;286;15;16;5;0
São Paulo;1;990;0;0;13;2;2;0;607;13;6;6;23;4;414;501;826;42;294;12;20;10;1
